Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,149.710007,150.429993,148.580002,150.270004,150.270004,795000
2019-10-15,150.559998,151.259995,149.369995,150.000000,150.000000,1221700
2019-10-16,147.850006,148.169998,143.259995,145.380005,145.380005,2887400
2019-10-17,146.020004,146.820007,144.029999,144.270004,144.270004,1440500
2019-10-18,144.020004,144.490005,138.899994,139.669998,139.669998,2959700
2019-10-21,140.899994,142.369995,139.199997,141.490005,141.490005,1800300
2019-10-22,142.020004,142.580002,139.710007,140.070007,140.070007,1297600
2019-10-23,139.570007,142.800003,138.619995,141.929993,141.929993,1646300
2019-10-24,143.000000,146.100006,142.520004,145.369995,145.369995,1302600
2019-10-25,144.979996,147.169998,144.320007,145.539993,145.539993,1062500
2019-10-28,146.990005,147.839996,145.360001,146.990005,146.990005,866800
2019-10-29,146.979996,147.919998,145.389999,145.589996,145.589996,891200
2019-10-30,146.240005,149.520004,144.839996,148.779999,148.779999,1114300
2019-10-31,148.759995,149.039993,145.339996,147.360001,147.360001,1048000
2019-11-01,148.600006,151.000000,147.610001,150.250000,150.250000,1142700
2019-11-04,151.149994,151.759995,149.550003,151.270004,151.270004,1025900
2019-11-05,152.039993,153.369995,149.080002,151.729996,151.729996,1023500
2019-11-06,151.679993,151.960007,150.479996,151.509995,151.509995,832300
2019-11-07,152.309998,153.800003,151.000000,151.820007,151.820007,639400
2019-11-08,150.789993,152.990005,150.429993,152.960007,152.960007,665400
2019-11-11,152.389999,154.100006,151.899994,152.919998,152.919998,539500
2019-11-12,154.779999,158.580002,154.330002,158.059998,158.059998,1618100
2019-11-13,156.839996,159.330002,156.059998,159.210007,159.210007,978400
2019-11-14,158.410004,159.339996,157.320007,158.139999,158.139999,1272000
2019-11-15,158.360001,161.800003,157.509995,161.750000,161.750000,1726600
2019-11-18,160.029999,163.720001,159.779999,162.440002,162.440002,1538100
2019-11-19,163.470001,164.940002,162.419998,164.529999,164.529999,1269600
2019-11-20,165.000000,167.050003,164.080002,165.330002,165.330002,1528900
2019-11-21,165.330002,165.919998,164.110001,165.050003,165.050003,1242500
2019-11-22,165.960007,167.199997,164.479996,167.009995,167.009995,899400
2019-11-25,168.000000,169.289993,167.669998,168.880005,168.880005,1573300
